nama,jurusan,nama_instansi,divisi,tanggal_mulai,tanggal_akhir,status_magang,jenjang,ipk/nilai,mata_kuliah/pelajaran,skill_teknis,sertifikasi,pengalaman_magang,pengalaman_organisasi,proyek_dikerjakan
Maimunah Wahyuni,Multimedia,SMAN 1 Majalaya,APTIKA,10/5/2020,12/20/2020,Selesai,SMK,83,"Animasi, Editing Video, Fotografi, Desain 3D, Desain Grafis","PHP, Java",Cisco CCNA,Magang di Diskominfo,BEM,-
Bakiman Maryati,RPL,SMAN 1 Majalaya,APTIKA,10/26/2020,12/26/2020,Selesai,SMK,89,"Basis Data, Jaringan Komputer, Sistem Operasi, Pemrograman, Desain UI/UX","Excel, UI/UX",Microsoft Office Specialist,Magang di Telkom,-,Website Kampus
Febi Saputra,Teknik Informatika,Politeknik Piksi Ganesha Bandung,APTIKA,10/14/2020,12/26/2020,Selesai,D3,"3,65","Jaringan Komputer, Struktur Data, Kecerdasan Buatan, Basis Data, Algoritma","Python, SQL",-,Magang di Bank BJB,-,Aplikasi Mobile
Jail Mahendra,IPA,SMKN 2 Baleendah,APTIKA,11/11/2020,12/14/2020,Selesai,SMA,90,"Matematika, Biologi, Bahasa Inggris, Kimia, Informatika","PHP, Java",-,Magang di Bank BJB,OSIS,Penelitian Sosial
Rangga Santoso,IPS,SMAN 1 Majalaya,APTIKA,11/12/2020,12/12/2020,Selesai,SMA,89,"Bahasa Indonesia, Sosiologi, Geografi, PPKn, Sejarah","Excel, UI/UX",Microsoft Office Specialist,-,BEM,Aplikasi Mobile
Fitria Hariyah,Teknik Sipil,Universitas Langlangbuana,APTIKA,10/20/2020,10/14/2020,Selesai,D3,"3,6","Statika, Mekanika Tanah, Struktur Beton, Gambar Teknik, Hidrologi","PHP, Java",-,Magang di Diskominfo,-,Video Animasi
Kuncara Maryati,Ilmu Komunikasi,Universitas Bale Bandung,APTIKA,11/12/2020,12/17/2020,Selesai,D3,"3,09","Public Speaking, Jurnalistik, Sosiologi Komunikasi, Komunikasi Massa, Manajemen Media","Python, SQL",Adobe Certified,Magang di Bank BJB,Himpunan Mahasiswa,Video Animasi
Suci Maulana,Teknik Sipil,Institut Teknologi Nasional Bandung,SEKRE,10/5/2020,12/20/2020,Selesai,D3,"3,49","Hidrologi, Gambar Teknik, Mekanika Tanah, Statika, Manajemen Konstruksi","Python, SQL",Microsoft Office Specialist,-,BEM,Aplikasi Mobile
Jumari Hasanah,RPL,SMKN 2 Baleendah,SEKRE,10/14/2020,11/26/2020,Selesai,SMK,87,"Jaringan Komputer, Basis Data, Desain UI/UX, Sistem Operasi, PBO","Adobe, UI/UX",Adobe Certified,Magang di Diskominfo,Himpunan Mahasiswa,-
Dina Pratama,Psikologi,Universitas Bale Bandung,SEKRE,10/11/2020,12/14/2020,Selesai,D3,"3,84","Psikologi Sosial, Psikologi Pendidikan, Psikologi Klinis, Metodologi Psikologi, Teori Kepribadian","Adobe, UI/UX",Cisco CCNA,Magang di Diskominfo,Himpunan Mahasiswa,Aplikasi Mobile
Indah Prastuti,Multimedia,SMKN 2 Baleendah,SEKRE,10/12/2020,11/12/2020,Selesai,SMK,90,"Editing Video, Desain Grafis, Animasi, Fotografi, UI/UX","AutoCAD, Excel",Microsoft Office Specialist,Magang di Telkom,Himpunan Mahasiswa,Video Animasi
Safina Wulandari,Psikologi,Politeknik Piksi Ganesha Bandung,SEKRE,10/5/2020,12/20/2020,Selesai,D3,"3,33","Metodologi Psikologi, Psikologi Pendidikan, Psikologi Sosial, Konseling, Teori Kepribadian","Python, SQL",-,-,-,-
Tari Manullang,Teknik Informatika,Universitas Langlangbuana,SEKRE,10/26/2020,12/26/2020,Selesai,D3,"2,88","Struktur Data, Basis Data, Jaringan Komputer, Pemrograman Web, Kecerdasan Buatan","Excel, UI/UX",-,Magang di Diskominfo,Himpunan Mahasiswa,Penelitian Sosial
Harimurti Adriansyah,Multimedia,SMAN 1 Majalaya,SEKRE,10/14/2020,12/26/2020,Selesai,SMK,92,"Editing Video, Fotografi, Desain 3D, Animasi, Desain Grafis","Adobe, UI/UX",-,Magang di Telkom,BEM,Aplikasi Mobile
Hilda Wibisono,IPA,SMAN 1 Banjaran,SEKRE,11/11/2020,12/14/2020,Selesai,SMA,89,"Kimia, Fisika, Biologi, Matematika, Bahasa Inggris","Python, SQL",Adobe Certified,-,BEM,Aplikasi Mobile
Titin Mahendra,Teknik Informatika,Universitas Komputer Indonesia,SEKRE,11/12/2020,12/12/2020,Selesai,D3,"2,99","Pemrograman Web, Struktur Data, Basis Data, Jaringan Komputer, Kecerdasan Buatan","Adobe, UI/UX",-,Magang di Diskominfo,Himpunan Mahasiswa,Video Animasi
Jelita Rahayu,Ilmu Komunikasi,Politeknik Piksi Ganesha Bandung,SEKRE,10/20/2020,10/14/2020,Selesai,D3,"3,29","Komunikasi Massa, Public Speaking, Fotografi, Jurnalistik, Sosiologi Komunikasi","Python, SQL",-,Magang di Telkom,Himpunan Mahasiswa,Video Animasi
Laswi Siregar,RPL,SMAN 1 Banjaran,STATISTIK,11/12/2020,12/17/2020,Selesai,SMK,81,"Desain UI/UX, Jaringan Komputer, Sistem Operasi, Pemrograman, PBO","Adobe, UI/UX",Microsoft Office Specialist,Magang di Bank BJB,OSIS,Video Animasi
Banawa Kusmawati,RPL,SMAN 1 Banjaran,STATISTIK,10/5/2020,12/20/2020,Selesai,SMK,85,"Desain UI/UX, PBO, Jaringan Komputer, Sistem Operasi, Basis Data","Python, SQL",Adobe Certified,-,Himpunan Mahasiswa,Aplikasi Mobile
Pranawa Ramadan,RPL,SMAN 1 Banjaran,STATISTIK,10/14/2020,11/26/2020,Selesai,SMK,83,"Desain UI/UX, Basis Data, Pemrograman, PBO, Sistem Operasi","AutoCAD, Excel",Microsoft Office Specialist,-,-,Website Kampus
Yuni Rahayu,IPA,SMAN 1 Ciparay,STATISTIK,10/11/2020,12/14/2020,Selesai,SMA,77,"Matematika, Fisika, Bahasa Inggris, Informatika, Kimia","Adobe, UI/UX",Microsoft Office Specialist,Magang di Bank BJB,BEM,Aplikasi Mobile
Cemani Narpati,RPL,SMAN 1 Banjaran,STATISTIK,10/12/2020,11/12/2020,Selesai,SMK,92,"Desain UI/UX, Pemrograman, PBO, Basis Data, Jaringan Komputer","Python, SQL",Microsoft Office Specialist,Magang di Diskominfo,-,Penelitian Sosial
Asirwanda Suartini,IPS,SMAN 1 Banjaran,STATISTIK,11/12/2020,12/17/2020,Selesai,SMA,89,"Ekonomi, Bahasa Indonesia, Sosiologi, PPKn, Sejarah","Python, SQL",-,Magang di Bank BJB,OSIS,Website Kampus
Puti Ghaliyati Pradana,Ilmu Komunikasi,Universitas Langlangbuana,STATISTIK,10/5/2020,12/20/2020,Selesai,D3,"3,59","Sosiologi Komunikasi, Komunikasi Massa, Fotografi, Public Speaking, Jurnalistik","Adobe, UI/UX",Adobe Certified,Magang di Telkom,OSIS,Website Kampus
Ellis Maheswara,Teknik Informatika,Universitas Bale Bandung,STATISTIK,10/14/2020,11/26/2020,Selesai,D3,"2,79","Kecerdasan Buatan, Jaringan Komputer, Basis Data, Algoritma, Struktur Data","PHP, Java",-,-,OSIS,Website Kampus
Irnanto Maulana,Psikologi,Universitas Komputer Indonesia,STATISTIK,10/11/2020,12/14/2020,Selesai,D3,"3,78","Konseling, Psikologi Sosial, Teori Kepribadian, Metodologi Psikologi, Psikologi Pendidikan","Excel, UI/UX",Microsoft Office Specialist,Magang di Diskominfo,BEM,Aplikasi Mobile
Ade Prakasa,Teknik Informatika,Universitas Bale Bandung,STATISTIK,10/12/2020,11/12/2020,Selesai,D3,"2,98","Kecerdasan Buatan, Pemrograman Web, Algoritma, Struktur Data, Jaringan Komputer","AutoCAD, Excel",-,Magang di Telkom,-,-
Panca Salahudin,Sistem Informasi,Institut Teknologi Nasional Bandung,TIK,1/14/2021,3/20/2021,Selesai,D3,"3,73","Rekayasa Perangkat Lunak, Basis Data, Manajemen Proyek, Jaringan, Pemrograman","PHP, Java",Microsoft Office Specialist,Magang di Diskominfo,BEM,Penelitian Sosial
Sabar Winarno,Sistem Informasi,Politeknik Piksi Ganesha Bandung,TIK,2/5/2021,3/2/2021,Selesai,D3,"3,57","Rekayasa Perangkat Lunak, Analisis Sistem, Basis Data, Manajemen Proyek, Pemrograman","Adobe, UI/UX",Adobe Certified,Magang di Diskominfo,-,-
Ifa Budiman,Multimedia,SMAN 1 Majalaya,TIK,1/5/2021,2/20/2021,Selesai,SMK,86,"Fotografi, Desain 3D, Animasi, Editing Video, UI/UX","PHP, Java",-,Magang di Telkom,-,Aplikasi Mobile
Nova Damanik,RPL,SMAN 1 Banjaran,TIK,2/14/2021,3/14/2021,Selesai,SMK,82,"PBO, Basis Data, Desain UI/UX, Pemrograman, Sistem Operasi","PHP, Java",Cisco CCNA,Magang di Diskominfo,BEM,-
Kenes Ramadan,Teknik Sipil,Institut Teknologi Nasional Bandung,TIK,1/17/2021,2/20/2021,Selesai,S1,"3,85","Struktur Beton, Hidrologi, Statika, Mekanika Tanah, Gambar Teknik","AutoCAD, Excel",Adobe Certified,Magang di Diskominfo,-,Penelitian Sosial
Lanjar Haryanti,Teknik Informatika,Institut Teknologi Nasional Bandung,TIK,1/21/2021,3/5/2021,Selesai,S1,"3,77","Jaringan Komputer, Kecerdasan Buatan, Algoritma, Struktur Data, Basis Data","Excel, UI/UX",Microsoft Office Specialist,-,OSIS,Aplikasi Mobile
Luthfi Nuraini,Multimedia,SMAN 1 Banjaran,TIK,1/14/2021,3/17/2021,Selesai,SMK,91,"Animasi, Fotografi, Editing Video, Desain 3D, UI/UX","Adobe, UI/UX",Cisco CCNA,-,OSIS,Aplikasi Mobile
Vanesa Agustina,Psikologi,Universitas Bale Bandung,TIK,1/5/2021,2/20/2021,Selesai,D3,"3,68","Psikologi Sosial, Metodologi Psikologi, Teori Kepribadian, Psikologi Klinis, Psikologi Pendidikan","Python, SQL",Adobe Certified,Magang di Bank BJB,OSIS,Penelitian Sosial
Dwi Suartini,Ilmu Komunikasi,Universitas Komputer Indonesia,TIK,1/9/2021,2/25/2021,Selesai,D3,"3,34","Manajemen Media, Komunikasi Massa, Jurnalistik, Fotografi, Sosiologi Komunikasi","PHP, Java",-,Magang di Telkom,Himpunan Mahasiswa,Penelitian Sosial
Humaira Purnawati,Teknik Sipil,Universitas Komputer Indonesia,TIK,1/4/2021,3/30/2021,Selesai,D3,"2,79","Mekanika Tanah, Struktur Beton, Gambar Teknik, Manajemen Konstruksi, Hidrologi","Python, SQL",Adobe Certified,Magang di Bank BJB,BEM,Penelitian Sosial
Hamima Hutagalung,Teknik Informatika,Institut Teknologi Nasional Bandung,IKP,1/14/2021,3/20/2021,Selesai,S1,"2,84","Jaringan Komputer, Struktur Data, Algoritma, Basis Data, Pemrograman Web","AutoCAD, Excel",-,Magang di Bank BJB,BEM,-
Victoria Hastuti,IPA,SMAN 1 Banjaran,IKP,2/5/2021,3/2/2021,Selesai,SMA,89,"Bahasa Inggris, Biologi, Matematika, Kimia, Fisika","Python, SQL",Adobe Certified,-,Himpunan Mahasiswa,Video Animasi
Sakura Iswahyudi,Ilmu Komunikasi,Universitas Bale Bandung,IKP,1/5/2021,2/20/2021,Selesai,S1,"3,5","Komunikasi Massa, Jurnalistik, Fotografi, Sosiologi Komunikasi, Manajemen Media","AutoCAD, Excel",Microsoft Office Specialist,-,OSIS,Video Animasi
Ciaobella Nurdiyanti,Teknik Sipil,Universitas Langlangbuana,IKP,2/14/2021,3/14/2021,Selesai,S1,"2,9","Struktur Beton, Gambar Teknik, Manajemen Konstruksi, Statika, Mekanika Tanah","Excel, UI/UX",Microsoft Office Specialist,Magang di Telkom,BEM,Video Animasi
Dewi Purnawati,Psikologi,Institut Teknologi Nasional Bandung,IKP,1/17/2021,2/20/2021,Selesai,S1,"3,39","Metodologi Psikologi, Psikologi Klinis, Psikologi Pendidikan, Psikologi Sosial, Konseling","Excel, UI/UX",-,Magang di Diskominfo,BEM,Aplikasi Mobile
Viman Mahendra,Sistem Informasi,Universitas Komputer Indonesia,IKP,1/21/2021,3/5/2021,Selesai,S1,"2,78","Jaringan, Manajemen Proyek, Pemrograman, Rekayasa Perangkat Lunak, Analisis Sistem","Adobe, UI/UX",Adobe Certified,-,BEM,Video Animasi
Ghani Pratama,IPS,SMAN 1 Banjaran,IKP,1/14/2021,3/17/2021,Selesai,SMA,86,"Geografi, Sejarah, Sosiologi, Ekonomi, Bahasa Indonesia","Python, SQL",-,Magang di Bank BJB,BEM,Aplikasi Mobile
Carub Ramadan,IPA,SMAN 1 Ciparay,IKP,1/5/2021,2/20/2021,Selesai,SMA,96,"Informatika, Fisika, Biologi, Bahasa Inggris, Matematika","AutoCAD, Excel",Adobe Certified,-,Himpunan Mahasiswa,Video Animasi
Kunthara Pratiwi,Psikologi,Universitas Bale Bandung,IKP,1/9/2021,2/25/2021,Selesai,S1,"3,19","Psikologi Klinis, Konseling, Psikologi Pendidikan, Psikologi Sosial, Metodologi Psikologi","Excel, UI/UX",Adobe Certified,-,OSIS,-
Oskar Damanik,Teknik Informatika,Universitas Bale Bandung,IKP,1/4/2021,3/30/2021,Selesai,S1,"3,68","Basis Data, Struktur Data, Algoritma, Kecerdasan Buatan, Pemrograman Web","PHP, Java",Adobe Certified,Magang di Diskominfo,-,Aplikasi Mobile
Putu Ramadan,Ilmu Komunikasi,Universitas Komputer Indonesia,PERSANDIAN,1/14/2021,3/20/2021,Selesai,S1,"3,05","Public Speaking, Fotografi, Manajemen Media, Sosiologi Komunikasi, Jurnalistik","Adobe, UI/UX",-,-,OSIS,-
Drajat Wastuti,Sistem Informasi,Institut Teknologi Nasional Bandung,PERSANDIAN,2/5/2021,3/2/2021,Selesai,S1,"3,66","Basis Data, Pemrograman, Jaringan, Manajemen Proyek, Analisis Sistem","Adobe, UI/UX",-,Magang di Bank BJB,OSIS,Website Kampus
Laras Sirait,Teknik Sipil,Universitas Komputer Indonesia,PERSANDIAN,1/5/2021,2/20/2021,Selesai,S1,"3,34","Statika, Gambar Teknik, Struktur Beton, Hidrologi, Mekanika Tanah","AutoCAD, Excel",Adobe Certified,-,OSIS,Video Animasi
Cawisadi Anggraini,IPA,SMKN 2 Baleendah,PERSANDIAN,2/14/2021,3/14/2021,Selesai,SMA,84,"Biologi, Bahasa Inggris, Informatika, Kimia, Matematika","Python, SQL",Adobe Certified,-,OSIS,Penelitian Sosial
Raden Widodo,IPA,SMKN 1 Katapang,PERSANDIAN,1/17/2021,2/20/2021,Selesai,SMA,97,"Bahasa Inggris, Biologi, Matematika, Informatika, Kimia","Python, SQL",Microsoft Office Specialist,-,BEM,Penelitian Sosial
Radit Mayasari,Sistem Informasi,Universitas Bale Bandung,PERSANDIAN,1/21/2021,3/5/2021,Selesai,S1,"2,92","Basis Data, Pemrograman, Rekayasa Perangkat Lunak, Manajemen Proyek, Analisis Sistem","Adobe, UI/UX",Microsoft Office Specialist,Magang di Bank BJB,Himpunan Mahasiswa,-
Wirda Sirait,Ilmu Komunikasi,Institut Teknologi Nasional Bandung,PERSANDIAN,1/14/2021,3/17/2021,Selesai,S1,"3,53","Sosiologi Komunikasi, Manajemen Media, Jurnalistik, Public Speaking, Fotografi","AutoCAD, Excel",Adobe Certified,-,OSIS,Penelitian Sosial
Enteng Susanti,Teknik Sipil,Universitas Bale Bandung,PERSANDIAN,1/5/2021,2/20/2021,Selesai,S1,"2,87","Struktur Beton, Gambar Teknik, Hidrologi, Statika, Mekanika Tanah","AutoCAD, Excel",Microsoft Office Specialist,-,Himpunan Mahasiswa,Penelitian Sosial
Kenes Kusmawati,IPS,SMAN 1 Banjaran,PERSANDIAN,1/9/2021,2/25/2021,Selesai,SMA,82,"Sosiologi, Ekonomi, Sejarah, Bahasa Indonesia, Geografi","AutoCAD, Excel",Adobe Certified,Magang di Telkom,Himpunan Mahasiswa,Aplikasi Mobile
Betania Suwarno,Ilmu Komunikasi,Institut Teknologi Nasional Bandung,PERSANDIAN,1/4/2021,3/30/2021,Selesai,S1,"3,03","Komunikasi Massa, Fotografi, Public Speaking, Jurnalistik, Manajemen Media","Adobe, UI/UX",Microsoft Office Specialist,Magang di Telkom,-,Video Animasi
Rina Prakasa,IPA,SMKN 1 Katapang,APTIKA,1/14/2021,3/20/2021,Selesai,SMA,91,"Biologi, Kimia, Fisika, Matematika, Bahasa Inggris","Adobe, UI/UX",Cisco CCNA,Magang di Bank BJB,Himpunan Mahasiswa,Penelitian Sosial
Paulin Suryatmi,IPS,SMKN 1 Katapang,APTIKA,2/5/2021,3/2/2021,Selesai,SMA,92,"Sejarah, Sosiologi, Ekonomi, PPKn, Geografi","Excel, UI/UX",Microsoft Office Specialist,-,Himpunan Mahasiswa,-
Hesti Permadi,Teknik Informatika,Universitas Langlangbuana,APTIKA,1/5/2021,2/20/2021,Selesai,S1,"3,45","Pemrograman Web, Struktur Data, Algoritma, Jaringan Komputer, Basis Data","AutoCAD, Excel",-,Magang di Telkom,Himpunan Mahasiswa,Website Kampus
Rahayu Maryati,Sistem Informasi,Politeknik Piksi Ganesha Bandung,APTIKA,2/14/2021,3/14/2021,Selesai,S1,"2,84","Pemrograman, Jaringan, Basis Data, Manajemen Proyek, Analisis Sistem","Excel, UI/UX",Adobe Certified,Magang di Telkom,-,Penelitian Sosial
Dina Purnawati,IPS,SMAN 1 Majalaya,APTIKA,1/17/2021,2/20/2021,Selesai,SMA,76,"Geografi, Bahasa Indonesia, PPKn, Ekonomi, Sejarah","PHP, Java",-,Magang di Diskominfo,-,-
Cindy Sihombing,Multimedia,SMKN 1 Katapang,APTIKA,1/21/2021,3/5/2021,Selesai,SMK,86,"Editing Video, Animasi, Desain Grafis, UI/UX, Fotografi","PHP, Java",-,Magang di Telkom,Himpunan Mahasiswa,Website Kampus
Oni Megantara,Multimedia,SMAN 1 Banjaran,APTIKA,1/14/2021,3/17/2021,Selesai,SMK,85,"UI/UX, Animasi, Desain Grafis, Fotografi, Desain 3D","AutoCAD, Excel",Cisco CCNA,-,OSIS,Penelitian Sosial
Waluyo Rajata,Psikologi,Universitas Bale Bandung,APTIKA,1/5/2021,2/20/2021,Selesai,S1,"2,91","Konseling, Teori Kepribadian, Psikologi Sosial, Psikologi Pendidikan, Psikologi Klinis","Python, SQL",-,Magang di Diskominfo,BEM,Website Kampus
Xanana Pradipta,Teknik Sipil,Universitas Langlangbuana,APTIKA,1/9/2021,2/25/2021,Selesai,S1,"3,84","Gambar Teknik, Hidrologi, Manajemen Konstruksi, Struktur Beton, Statika","Python, SQL",-,Magang di Bank BJB,OSIS,Video Animasi
Rama Hardiansyah,Ilmu Komunikasi,Universitas Bale Bandung,APTIKA,1/4/2021,3/30/2021,Selesai,S1,"2,94","Fotografi, Manajemen Media, Sosiologi Komunikasi, Public Speaking, Jurnalistik","Python, SQL",Microsoft Office Specialist,Magang di Diskominfo,-,Video Animasi
Leo Wijaya,IPS,SMAN 1 Majalaya,SEKRE,1/14/2021,3/20/2021,Selesai,SMA,80,"Sejarah, PPKn, Ekonomi, Sosiologi, Geografi","Python, SQL",Cisco CCNA,Magang di Telkom,BEM,Video Animasi
Halima Kusumo,Teknik Sipil,Universitas Bale Bandung,SEKRE,2/5/2021,3/2/2021,Selesai,S1,"2,87","Gambar Teknik, Mekanika Tanah, Statika, Hidrologi, Manajemen Konstruksi","PHP, Java",Adobe Certified,Magang di Diskominfo,-,Video Animasi
Fitriani Hidayanto,Ilmu Komunikasi,Universitas Bale Bandung,SEKRE,1/5/2021,2/20/2021,Selesai,S1,"3,53","Jurnalistik, Manajemen Media, Sosiologi Komunikasi, Fotografi, Komunikasi Massa","PHP, Java",Cisco CCNA,-,Himpunan Mahasiswa,Aplikasi Mobile
Talia Hardiansyah,Ilmu Komunikasi,Universitas Langlangbuana,SEKRE,2/14/2021,3/14/2021,Selesai,S1,"3,03","Public Speaking, Komunikasi Massa, Manajemen Media, Jurnalistik, Sosiologi Komunikasi","Excel, UI/UX",-,Magang di Bank BJB,OSIS,-
Hafshah Permadi,Multimedia,SMAN 1 Banjaran,SEKRE,1/17/2021,2/20/2021,Selesai,SMK,85,"UI/UX, Animasi, Desain Grafis, Desain 3D, Fotografi","PHP, Java",-,-,Himpunan Mahasiswa,Website Kampus
Puji Usamah,Psikologi,Institut Teknologi Nasional Bandung,SEKRE,1/21/2021,3/5/2021,Selesai,S1,"2,78","Psikologi Sosial, Konseling, Psikologi Klinis, Psikologi Pendidikan, Metodologi Psikologi","AutoCAD, Excel",Adobe Certified,Magang di Telkom,OSIS,-
Asmuni Nainggolan,Psikologi,Universitas Langlangbuana,SEKRE,1/14/2021,3/17/2021,Selesai,S1,"3,55","Teori Kepribadian, Konseling, Psikologi Sosial, Metodologi Psikologi, Psikologi Klinis","Excel, UI/UX",Adobe Certified,Magang di Bank BJB,OSIS,Penelitian Sosial
Rika Halimah,Teknik Sipil,Universitas Langlangbuana,SEKRE,1/5/2021,2/20/2021,Selesai,S1,"2,77","Struktur Beton, Manajemen Konstruksi, Statika, Hidrologi, Gambar Teknik","Excel, UI/UX",Cisco CCNA,Magang di Bank BJB,Himpunan Mahasiswa,Aplikasi Mobile
Mila Uyainah,IPS,SMKN 1 Katapang,SEKRE,1/9/2021,2/25/2021,Selesai,SMA,76,"Bahasa Indonesia, PPKn, Geografi, Ekonomi, Sosiologi","Excel, UI/UX",Adobe Certified,Magang di Diskominfo,OSIS,Penelitian Sosial
Kasim Purnawati,Teknik Informatika,Politeknik Piksi Ganesha Bandung,SEKRE,1/4/2021,3/30/2021,Selesai,S1,"3,11","Algoritma, Basis Data, Jaringan Komputer, Struktur Data, Pemrograman Web","AutoCAD, Excel",Cisco CCNA,Magang di Telkom,OSIS,Website Kampus
Daliman Nashiruddin,RPL,SMKN 1 Katapang,STATISTIK,1/14/2021,3/20/2021,Selesai,SMK,88,"Pemrograman, PBO, Sistem Operasi, Basis Data, Desain UI/UX","Adobe, UI/UX",-,Magang di Bank BJB,OSIS,Video Animasi
Lala Sihotang,RPL,SMKN 1 Katapang,STATISTIK,2/5/2021,3/2/2021,Selesai,SMK,81,"Desain UI/UX, Pemrograman, Jaringan Komputer, PBO, Basis Data","AutoCAD, Excel",Cisco CCNA,-,BEM,Aplikasi Mobile
Adhiarja Puspita,Sistem Informasi,Institut Teknologi Nasional Bandung,STATISTIK,1/5/2021,2/20/2021,Selesai,D3,"3,54","Basis Data, Pemrograman, Jaringan, Analisis Sistem, Manajemen Proyek","AutoCAD, Excel",Adobe Certified,Magang di Bank BJB,-,Aplikasi Mobile
Garan Maulana,Psikologi,Institut Teknologi Nasional Bandung,STATISTIK,2/14/2021,3/14/2021,Selesai,D3,"2,84","Psikologi Sosial, Teori Kepribadian, Metodologi Psikologi, Psikologi Pendidikan, Psikologi Klinis","Excel, UI/UX",Microsoft Office Specialist,Magang di Bank BJB,Himpunan Mahasiswa,-
Genta Prakasa,Sistem Informasi,Universitas Bale Bandung,STATISTIK,1/17/2021,2/20/2021,Selesai,D3,3,"Basis Data, Jaringan, Rekayasa Perangkat Lunak, Manajemen Proyek, Pemrograman","AutoCAD, Excel",Adobe Certified,Magang di Telkom,BEM,Aplikasi Mobile
Diah Natsir,RPL,SMKN 2 Baleendah,STATISTIK,1/21/2021,3/5/2021,Selesai,SMK,81,"Pemrograman, Basis Data, Jaringan Komputer, PBO, Desain UI/UX","Python, SQL",-,Magang di Telkom,-,Penelitian Sosial
Daliono Mustofa,IPA,SMAN 1 Banjaran,STATISTIK,1/14/2021,3/17/2021,Selesai,SMA,89,"Bahasa Inggris, Biologi, Kimia, Informatika, Fisika","PHP, Java",-,-,Himpunan Mahasiswa,Website Kampus
Zulfa Usamah,Teknik Sipil,Institut Teknologi Nasional Bandung,STATISTIK,1/5/2021,2/20/2021,Selesai,D3,"2,87","Statika, Gambar Teknik, Struktur Beton, Mekanika Tanah, Manajemen Konstruksi","Excel, UI/UX",Microsoft Office Specialist,Magang di Telkom,Himpunan Mahasiswa,Aplikasi Mobile
Vivi Firmansyah,IPA,SMAN 1 Banjaran,STATISTIK,1/9/2021,2/25/2021,Selesai,SMA,78,"Matematika, Biologi, Bahasa Inggris, Kimia, Fisika","Python, SQL",-,-,-,Penelitian Sosial
Samsul Kurniawan,Teknik Informatika,Politeknik Piksi Ganesha Bandung,STATISTIK,1/4/2021,3/30/2021,Selesai,D3,"2,97","Jaringan Komputer, Kecerdasan Buatan, Basis Data, Algoritma, Struktur Data","PHP, Java",-,Magang di Telkom,Himpunan Mahasiswa,-
Ganjaran Sitompul,IPA,SMAN 1 Banjaran,TIK,4/14/2021,6/20/2021,Selesai,SMA,86,"Bahasa Inggris, Kimia, Fisika, Informatika, Matematika","PHP, Java",-,Magang di Bank BJB,BEM,Video Animasi
Uli Rajasa,IPS,SMKN 2 Baleendah,TIK,4/5/2021,6/2/2021,Selesai,SMA,84,"Ekonomi, Geografi, Bahasa Indonesia, PPKn, Sosiologi","Adobe, UI/UX",Adobe Certified,-,OSIS,Video Animasi
Ina Putra,Psikologi,Universitas Komputer Indonesia,TIK,5/5/2021,6/20/2021,Selesai,D3,"2,9","Konseling, Metodologi Psikologi, Teori Kepribadian, Psikologi Klinis, Psikologi Pendidikan","PHP, Java",Microsoft Office Specialist,Magang di Diskominfo,OSIS,Website Kampus
Slamet Hasanah,Teknik Informatika,Universitas Komputer Indonesia,TIK,5/14/2021,6/14/2021,Selesai,D3,"3,27","Jaringan Komputer, Kecerdasan Buatan, Algoritma, Pemrograman Web, Basis Data","Adobe, UI/UX",-,Magang di Bank BJB,-,Penelitian Sosial
Marsudi Wibowo,Psikologi,Universitas Langlangbuana,TIK,4/17/2021,5/20/2021,Selesai,D3,"2,94","Teori Kepribadian, Psikologi Klinis, Konseling, Psikologi Pendidikan, Metodologi Psikologi","AutoCAD, Excel",Microsoft Office Specialist,Magang di Diskominfo,Himpunan Mahasiswa,Aplikasi Mobile
Panca Budiyanto,IPS,SMKN 1 Katapang,TIK,5/21/2021,6/5/2021,Selesai,SMA,93,"Sejarah, Ekonomi, Geografi, Sosiologi, Bahasa Indonesia","Excel, UI/UX",-,-,BEM,Video Animasi
Kacung Mandala,Ilmu Komunikasi,Universitas Komputer Indonesia,TIK,5/14/2021,6/17/2021,Selesai,D3,"2,79","Public Speaking, Komunikasi Massa, Manajemen Media, Jurnalistik, Fotografi","Adobe, UI/UX",-,Magang di Telkom,BEM,-
Vanya Napitupulu,Sistem Informasi,Politeknik Piksi Ganesha Bandung,TIK,4/5/2021,5/20/2021,Selesai,D3,"3,02","Basis Data, Jaringan, Pemrograman, Analisis Sistem, Manajemen Proyek","Python, SQL",Cisco CCNA,Magang di Diskominfo,-,Aplikasi Mobile
Hana Safitri,RPL,SMKN 2 Baleendah,TIK,5/9/2021,6/25/2021,Selesai,SMK,93,"PBO, Pemrograman, Jaringan Komputer, Desain UI/UX, Sistem Operasi","Python, SQL",-,-,Himpunan Mahasiswa,-
Raina Hidayanto,IPS,SMKN 1 Katapang,TIK,4/4/2021,6/30/2021,Selesai,SMA,96,"Geografi, Bahasa Indonesia, Sosiologi, Ekonomi, PPKn","Python, SQL",Cisco CCNA,Magang di Bank BJB,BEM,Video Animasi
Tirtayasa Pratiwi,Sistem Informasi,Politeknik Piksi Ganesha Bandung,IKP,4/5/2021,6/20/2021,Selesai,D3,"2,97","Analisis Sistem, Basis Data, Jaringan, Rekayasa Perangkat Lunak, Pemrograman","Adobe, UI/UX",Adobe Certified,Magang di Telkom,-,Video Animasi
Jayadi Mansur,IPS,SMKN 1 Katapang,IKP,4/14/2021,6/20/2021,Selesai,SMA,75,"Ekonomi, Sosiologi, Sejarah, Bahasa Indonesia, PPKn","Adobe, UI/UX",-,-,BEM,Aplikasi Mobile
